Timestamp,Checkpoint Number,X Coordinate,Y Coordinate,Yaw Value,Distance (m),TOFL (mm),TOFR (mm),Temp (C),Humidity (%),VOC,CO2 (ppm),MQ2,Dust
2026-09-03 14:57:44.042,EVENT,START,-,-,-,-,-,-,-,-,-,-,-
2026-09-03 14:57:44.072,1,-0.145,-0.0001,270.02,0.01,0,81,29.9,61.5,84,25,1686,0
2026-09-03 14:57:44.072,2,-0.145,-0.0001,270.02,0.02,0,81,29.9,61.5,84,25,1686,0
2026-09-03 14:57:44.072,3,-0.145,-0.0001,270.02,0.03,0,81,29.9,61.5,84,25,1686,0
2026-09-03 14:57:44.072,4,-0.145,-0.0001,270.02,0.04,0,81,29.9,61.5,84,25,1686,0
2026-09-03 14:57:44.072,5,-0.145,-0.0001,270.02,0.05,0,81,29.9,61.5,84,25,1686,0
2026-09-03 14:57:44.072,6,-0.145,-0.0001,270.02,0.06,0,81,29.9,61.5,84,25,1686,0
2026-09-03 14:57:44.072,7,-0.145,-0.0001,270.02,0.07,0,81,29.9,61.5,84,25,1686,0
2026-09-03 14:57:44.072,8,-0.145,-0.0001,270.02,0.08,0,81,29.9,61.5,84,25,1686,0
2026-09-03 14:57:44.072,9,-0.145,-0.0001,270.02,0.09,0,81,29.9,61.5,84,25,1686,0
2026-09-03 14:57:44.072,10,-0.145,-0.0001,270.02,0.1,0,81,29.9,61.5,84,25,1686,0
2026-09-03 14:57:44.072,11,-0.145,-0.0001,270.02,0.11,0,81,29.9,61.5,84,25,1686,0
2026-09-03 14:57:44.072,12,-0.145,-0.0001,270.02,0.12,0,81,29.9,61.5,84,25,1686,0
2026-09-03 14:57:44.072,13,-0.145,-0.0001,270.02,0.13,0,81,29.9,61.5,84,25,1686,0
2026-09-03 14:57:44.072,14,-0.145,-0.0001,270.02,0.14,0,81,29.9,61.5,84,25,1686,0
2026-09-03 14:57:57.289,EVENT,STOP,-,-,-,-,-,-,-,-,-,-,-
