Timestamp,Checkpoint Number,X Coordinate,Y Coordinate,Yaw Value,Distance (m),TOFL (mm),TOFR (mm),Temp (C),Humidity (%),VOC,CO2 (ppm),MQ2,Dust
2026-09-03 14:14:16.721,EVENT,START,-,-,-,-,-,-,-,-,-,-,-
2026-09-03 14:14:16.751,1,-0.145,-0.0,270.01,0.01,480,84,29.0,64.6,83,25,1389,0
2026-09-03 14:14:16.751,2,-0.145,-0.0,270.01,0.02,480,84,29.0,64.6,83,25,1389,0
2026-09-03 14:14:16.751,3,-0.145,-0.0,270.01,0.03,480,84,29.0,64.6,83,25,1389,0
2026-09-03 14:14:16.751,4,-0.145,-0.0,270.01,0.04,480,84,29.0,64.6,83,25,1389,0
2026-09-03 14:14:16.751,5,-0.145,-0.0,270.01,0.05,480,84,29.0,64.6,83,25,1389,0
2026-09-03 14:14:16.751,6,-0.145,-0.0,270.01,0.06,480,84,29.0,64.6,83,25,1389,0
2026-09-03 14:14:16.751,7,-0.145,-0.0,270.01,0.07,480,84,29.0,64.6,83,25,1389,0
2026-09-03 14:14:16.751,8,-0.145,-0.0,270.01,0.08,480,84,29.0,64.6,83,25,1389,0
2026-09-03 14:14:16.751,9,-0.145,-0.0,270.01,0.09,480,84,29.0,64.6,83,25,1389,0
2026-09-03 14:14:16.751,10,-0.145,-0.0,270.01,0.1,480,84,29.0,64.6,83,25,1389,0
2026-09-03 14:14:16.751,11,-0.145,-0.0,270.01,0.11,480,84,29.0,64.6,83,25,1389,0
2026-09-03 14:14:16.751,12,-0.145,-0.0,270.01,0.12,480,84,29.0,64.6,83,25,1389,0
2026-09-03 14:14:16.751,13,-0.145,-0.0,270.01,0.13,480,84,29.0,64.6,83,25,1389,0
2026-09-03 14:14:16.751,14,-0.145,-0.0,270.01,0.14,480,84,29.0,64.6,83,25,1389,0
2026-09-03 14:14:36.383,EVENT,STOP,-,-,-,-,-,-,-,-,-,-,-
