timestamp,written_frame_index
1788425056.7518442,1
1788425056.7888865,2
1788425056.8253725,3
1788425056.8627243,4
1788425056.8998847,5
1788425056.936763,6
1788425056.9734604,7
1788425057.0111146,8
1788425057.0479465,9
1788425057.085367,10
1788425057.1223834,11
1788425057.1602883,12
1788425057.1968858,13
1788425057.2335818,14
1788425057.2714324,15
1788425057.3078997,16
1788425057.3450365,17
1788425057.3830843,18
1788425057.420227,19
1788425057.4571364,20
1788425057.4941618,21
1788425057.531076,22
1788425057.5686114,23
1788425057.6051917,24
1788425057.6435406,25
1788425057.6813538,26
1788425057.718836,27
1788425057.754972,28
1788425057.79243,29
1788425057.829968,30
1788425057.8673532,31
1788425057.904196,32
1788425057.942616,33
1788425057.9803221,34
1788425058.0173242,35
1788425058.0545256,36
1788425058.0920043,37
1788425058.128741,38
1788425058.1667616,39
1788425058.204022,40
1788425058.2406676,41
1788425058.277403,42
1788425058.3144367,43
1788425058.3512092,44
1788425058.388871,45
1788425058.4260213,46
1788425058.464165,47
1788425058.502944,48
1788425058.5421157,49
1788425058.581001,50
1788425058.6191187,51
1788425058.6560395,52
1788425058.6928554,53
1788425058.7303069,54
1788425058.7677205,55
1788425058.8049092,56
1788425058.841851,57
1788425058.8792522,58
1788425058.9176972,59
1788425058.9563384,60
1788425058.9939756,61
1788425059.0305998,62
1788425059.068942,63
1788425059.1057365,64
1788425059.142901,65
1788425059.1807983,66
1788425059.2177277,67
1788425059.2557786,68
1788425059.2928019,69
1788425059.3301435,70
1788425059.3669014,71
1788425059.4038818,72
1788425059.4413402,73
1788425059.4778564,74
1788425059.5147598,75
1788425059.5526521,76
1788425059.5890427,77
1788425059.6260011,78
1788425059.6640892,79
1788425059.7008338,80
1788425059.7380009,81
1788425059.7752714,82
1788425059.812553,83
1788425059.8494148,84
1788425059.8871698,85
1788425059.9236083,86
1788425059.9599314,87
1788425059.999197,88
1788425060.0366414,89
1788425060.0735905,90
1788425060.1112442,91
1788425060.1493092,92
1788425060.1854393,93
1788425060.22301,94
1788425060.2602055,95
1788425060.2983007,96
1788425060.3361301,97
1788425060.372667,98
1788425060.4094987,99
1788425060.4463181,100
1788425060.4836488,101
1788425060.5204022,102
1788425060.557311,103
1788425060.594233,104
1788425060.631245,105
1788425060.6683338,106
1788425060.704885,107
1788425060.7420158,108
1788425060.779258,109
1788425060.8164897,110
1788425060.8532076,111
1788425060.8899436,112
1788425060.9268248,113
1788425060.963867,114
1788425061.000317,115
1788425061.0377913,116
1788425061.076141,117
1788425061.1125915,118
1788425061.1499612,119
1788425061.1879642,120
1788425061.224383,121
1788425061.261034,122
1788425061.2981324,123
1788425061.3354378,124
1788425061.372435,125
1788425061.4096274,126
1788425061.446566,127
1788425061.4841237,128
1788425061.521019,129
1788425061.5587497,130
1788425061.595641,131
1788425061.632385,132
1788425061.6702785,133
1788425061.7066953,134
1788425061.7443106,135
1788425061.7813156,136
1788425061.8187559,137
1788425061.8567977,138
1788425061.8937464,139
1788425061.9309127,140
1788425061.9680908,141
1788425062.0044725,142
1788425062.041961,143
1788425062.0795352,144
1788425062.1182659,145
1788425062.1579778,146
1788425062.1936994,147
1788425062.231082,148
1788425062.2682824,149
1788425062.3052862,150
1788425062.3423293,151
1788425062.3795917,152
1788425062.4169626,153
1788425062.4559171,154
1788425062.4929028,155
1788425062.530064,156
1788425062.5674782,157
1788425062.6042714,158
1788425062.6415102,159
1788425062.6786864,160
1788425062.715844,161
1788425062.7555964,162
1788425062.793842,163
1788425062.8332903,164
1788425062.8696704,165
1788425062.9079762,166
1788425062.943774,167
1788425062.9809048,168
1788425063.0182018,169
1788425063.0553896,170
1788425063.0928504,171
1788425063.1305373,172
1788425063.1685617,173
1788425063.204673,174
1788425063.2418742,175
1788425063.2784705,176
1788425063.3160284,177
1788425063.35317,178
1788425063.3916144,179
1788425063.4302256,180
1788425063.4677463,181
1788425063.5045218,182
1788425063.5414279,183
1788425063.5784032,184
1788425063.6154373,185
1788425063.6528902,186
1788425063.6909082,187
1788425063.729251,188
1788425063.7664804,189
1788425063.802612,190
1788425063.8403652,191
1788425063.8772266,192
1788425063.9146917,193
1788425063.9511132,194
1788425063.989347,195
1788425064.0254045,196
1788425064.0628312,197
1788425064.0994408,198
1788425064.1369894,199
1788425064.175315,200
1788425064.211796,201
1788425064.2510526,202
1788425064.2898405,203
1788425064.3289108,204
1788425064.3685753,205
1788425064.4070604,206
1788425064.4437125,207
1788425064.4823756,208
1788425064.5186088,209
1788425064.5558681,210
1788425064.5927281,211
1788425064.6292958,212
1788425064.6672943,213
1788425064.705728,214
1788425064.7430203,215
1788425066.8019753,216
1788425066.8392823,217
1788425066.8778844,218
1788425066.916688,219
1788425066.9551115,220
1788425066.9929378,221
1788425067.0290804,222
1788425067.0671287,223
1788425067.104257,224
1788425067.1419349,225
1788425067.1801047,226
1788425067.2164116,227
1788425067.2552495,228
1788425067.2940738,229
1788425067.3306255,230
1788425067.367489,231
1788425067.4046104,232
1788425067.4416003,233
1788425067.4788451,234
1788425067.5161047,235
1788425067.5530531,236
1788425067.5903978,237
1788425067.62776,238
1788425067.6654341,239
1788425067.7021937,240
1788425067.73976,241
1788425067.7768044,242
1788425067.814387,243
1788425067.8524373,244
1788425067.8896434,245
1788425067.9265146,246
1788425067.9638894,247
1788425068.0008879,248
1788425068.0380907,249
1788425068.0753305,250
1788425068.1121686,251
1788425068.1508493,252
1788425068.1870563,253
1788425068.2233748,254
1788425068.2606013,255
1788425068.297647,256
1788425068.3349102,257
1788425068.3737574,258
1788425068.4136798,259
1788425068.4497085,260
1788425068.48671,261
1788425068.523544,262
1788425068.5605795,263
1788425068.5974061,264
1788425068.6348648,265
1788425068.6732798,266
1788425068.7114627,267
1788425068.7497878,268
1788425068.7871153,269
1788425068.823936,270
1788425068.8605702,271
1788425068.8976343,272
1788425068.9346116,273
1788425068.9718225,274
1788425069.010505,275
1788425069.0476224,276
1788425069.084863,277
1788425069.1214242,278
1788425069.1594157,279
1788425069.1957939,280
1788425069.2325356,281
1788425069.2711544,282
1788425069.3081882,283
1788425069.3468378,284
1788425069.383121,285
1788425069.4203205,286
1788425069.4572148,287
1788425069.4947515,288
1788425069.5323071,289
1788425069.5698895,290
1788425069.606363,291
1788425069.6435819,292
1788425069.6805286,293
1788425069.717552,294
1788425069.7543268,295
1788425069.7909586,296
1788425069.828614,297
1788425069.8653293,298
1788425069.902303,299
1788425069.9391496,300
1788425069.9764118,301
1788425070.0131795,302
1788425070.051461,303
1788425070.0887911,304
1788425070.1260126,305
1788425070.1642234,306
1788425070.195279,307
1788425070.2335987,308
1788425070.2701437,309
1788425070.3075247,310
1788425070.3441808,311
1788425070.3809645,312
1788425070.4182596,313
1788425070.4548914,314
1788425070.492441,315
1788425070.53029,316
1788425070.5662224,317
1788425070.6032102,318
1788425070.640608,319
1788425070.6773627,320
1788425070.7156415,321
1788425070.753793,322
1788425070.7902203,323
1788425070.8277178,324
1788425070.8650153,325
1788425070.9019327,326
1788425070.9387813,327
1788425070.9763298,328
1788425071.0136504,329
1788425071.0527828,330
1788425071.0916417,331
1788425071.1302638,332
1788425071.1678216,333
1788425071.2041411,334
1788425071.2411563,335
1788425071.2782283,336
1788425071.3159988,337
1788425071.3516705,338
1788425071.389431,339
1788425071.4273076,340
1788425071.4638686,341
1788425071.5009484,342
